id;phase;category;status;description;source

# =============================================================================
# CANONICALIZATION PHASE - Resolve names, assign IDs, validate scopes
# =============================================================================

CANON_001;Canonicalization;Names;enforced;Every non-local variable reference in the canonical AST (top-level functions foreign imports constructors operators kernel vars) records its home module as an IO.Canonical so there is no ambiguity about which module a global name comes from while local variables are represented as VarLocal and resolved via the canonicalization environment;Compiler.AST.Canonical|Compiler.Canonicalize.Environment

CANON_002;Canonicalization;IDs;enforced;Every canonical expression node is assigned a unique non-negative integer ID ExprInfo.id by threading an Ids.IdState and calling Ids.allocId at each construction site and these IDs are later used as keys in the NodeTypes map returned by the type solver;Compiler.Canonicalize.Expression|Compiler.Canonicalize.Ids|Compiler.AST.Canonical

CANON_003;Canonicalization;Definitions;enforced;No duplicate top-level value type constructor or port names exist in a module duplicates are detected via the Dups tracker and reported as DuplicateDecl DuplicateType DuplicateCtor DuplicateBinop or ExportDuplicate errors and shadowing of local bindings is likewise detected and reported as Shadowing;Compiler.Canonicalize.Environment.Dups|Compiler.Canonicalize.Environment.Local|Compiler.Canonicalize.Pattern|Compiler.Reporting.Error.Canonicalize

CANON_004;Canonicalization;Imports;enforced;All imports must resolve to valid interfaces and all imported values types constructors and operators must come from those interfaces Foreign.createInitialEnv builds the environment from the given interface map and import list and unresolved or ambiguous imports yield canonicalization errors such as ImportNotFound ImportExposingNotFound or the various Ambiguous* errors;Compiler.Canonicalize.Environment.Foreign|Compiler.Canonicalize.Environment

CANON_005;Canonicalization;Dependencies;enforced;Module-level value definitions are partitioned into strongly connected components via Graph.stronglyConnComp this two-phase cycle detection (using all dependencies vs direct dependencies) ensures that groups used for type inference are valid recursive components and that non-terminating cyclic values are rejected with RecursiveDecl or RecursiveLet errors;Compiler.Canonicalize.Module|Compiler.Reporting.Error.Canonicalize

CANON_006;Canonicalization;Cache;documented;Certain expression and pattern forms cache type information directly in the canonical AST to avoid interface lookups later in particular VarForeign VarCtor VarDebug VarOperator and Binop nodes carry cached Can.Annotation or Can.Type fields and constructor patterns PCtor and PatternCtorArg embed types for inference exhaustiveness checking and optimization;Compiler.AST.Canonical

# =============================================================================
# TYPE CHECKING PHASE - Generate and solve constraints ensure type safety
# =============================================================================

TYPE_001;TypeChecking;Constraints;enforced;In both erased and typed pathways type constraint generation traverses all declarations effects (ports and managers) expressions and patterns reachable from the module producing a single Constraint tree that encodes all required type relationships;Compiler.Type.Constrain.Erased.Module|Compiler.Type.Constrain.Erased.Expression|Compiler.Type.Constrain.Erased.Pattern|Compiler.Type.Constrain.Typed.Module|Compiler.Type.Constrain.Typed.Expression|Compiler.Type.Constrain.Typed.Pattern

TYPE_002;TypeChecking;Unification;enforced;Constraint solving uses union-find-based unification to compute consistent assignments for type variables and every unification failure produces a Type.Error (for example via Unify.AnswerErr and Error.BadExpr) that is propagated as a BadTypes error rather than silently corrupting the environment;Compiler.Type.Solve|Compiler.Type.UnionFind|Compiler.Type.Unify|Compiler.Reporting.Error.Type

